,id,name,artist,genre,acousticness,danceability,valence,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature
77,1Gz2E1chOzRyhFXHJYWw8y,Pump the Brakes,Dom Dolla,tech_house,0.00673,0.813,0.495,220581,0.668,0.0912,8,0.362,-6.834,1,0.096,124.01,4
78,18KVIouF8klKE9HdqdpUxd,Lights Go Out,Chapter & Verse,tech_house,0.0975,0.624,0.278,226667,0.888,0.313,3,0.0899,-5.909,0,0.0474,126.081,4
79,28cF5QOu0CWdyTt6lYxIeA,Sun Goes Down,Cloonee,tech_house,0.0339,0.771,0.635,154524,0.939,0.000157,7,0.149,-5.145,1,0.158,126.036,4
80,6s4aphgjdaYIIfKB6kJ4FX,Missing,Jack Villa,tech_house,0.00255,0.746,0.604,184286,0.833,0.41,0,0.0663,-6.811,1,0.0494,126.021,4
81,5lXY6PTuWXOludKy4zDQwM,On My Mind,Diplo,tech_house,0.00165,0.771,0.635,189268,0.731,0.633,7,0.217,-6.574,1,0.0409,123.026,4
82,5nqXDwXYEfBTXFMHGqGmDF,Human,Jack Villa,tech_house,0.00168,0.682,0.371,160645,0.794,0.000496,8,0.121,-6.182,0,0.0606,124.034,4
83,37V78aaqEliOSPJxVgxNfm,It Is What It Is (feat. Elise LeGrow),Vintage Culture,tech_house,0.0107,0.783,0.638,164516,0.789,0.00266,1,0.122,-6.529,1,0.0508,124.012,4
84,0XzHwdMnVINLOPMCfHby9D,Incredible,KOCHAM,tech_house,0.00207,0.808,0.878,175441,0.96,0.262,10,0.244,-6.26,0,0.0778,125.001,4
85,3spdKuhzPCTRg1jHYQN6PZ,Wanna Play,Reynor,tech_house,0.00931,0.674,0.202,208064,0.858,0.762,9,0.125,-7.839,0,0.145,124.018,4
86,52IxlQalwlcxvtgrKCWATx,San Frandisco,Dom Dolla,tech_house,0.0415,0.779,0.504,185000,0.939,0.0967,9,0.0914,-6.269,0,0.0487,125.024,4
87,4k9PiNtDYlm15GCbruB1br,Rave Me,David Novacek,tech_house,0.00759,0.61,0.442,176636,0.997,0.733,7,0.559,-4.721,1,0.0886,124.991,4
88,3fDgxdcf0jeJgGiZJGUmyK,Ya Kidding,FISHER,tech_house,0.00177,0.813,0.77,238080,0.983,0.546,1,0.502,-5.515,1,0.153,125.007,4
89,22ovKYAlf9cWGFCFulxU0Y,Sunshine,Skeeterz,tech_house,0.0269,0.63,0.771,194037,0.838,0.715,9,0.173,-8.336,1,0.0443,124.017,4
90,1Psoa6OhucUNNehMUth3iz,The Hanging Tree,Jack Villa,tech_house,0.000305,0.807,0.911,238396,0.837,0.767,9,0.0621,-7.097,1,0.0605,127.025,4
91,1r8ZqfggYqW1R2JjiDGBQV,The Ciggie,Cloonee,tech_house,0.000218,0.905,0.605,373033,0.579,0.116,5,0.0867,-9.104,1,0.0865,123.999,4
92,76n7oGk8HuCG7pU1yrbH30,The Fool Rhythm,Reynor,tech_house,0.0292,0.785,0.523,161613,0.719,0.165,3,0.299,-11.269,1,0.0645,126.006,4
93,2aVMkn1VYQ4kyhCTkHqi11,Your Body,KOCHAM,tech_house,0.0022,0.852,0.691,171358,0.803,0.378,1,0.0655,-5.433,0,0.0697,125.003,4
94,76AMW7PQUbQZucnM2NHZO5,Moving Blind,Sonny Fodera,tech_house,0.0174,0.909,0.363,192984,0.877,0.000466,2,0.0761,-6.683,1,0.117,121.998,4
95,4cxmXUTvxgfuSUOHZtB4r0,Like That,Yvvan Back,tech_house,0.00531,0.727,0.657,216240,0.877,0.198,2,0.0967,-6.276,1,0.0415,125.03,4
96,1rj8a6viPOhAujqAgWZGA7,Don't Stop Me,FranK-Lo,tech_house,0.000598,0.735,0.594,150968,0.927,0.0148,0,0.438,-3.27,1,0.0579,124.008,4
97,4mdhDzzaW6YZQ0wrDOtQxG,Get Down,Reynor,tech_house,0.0375,0.744,0.873,172750,0.957,0.56,2,0.194,-7.704,1,0.052,126.013,4
98,29vo9RUjxgZWXWGTpD8f4m,Turn off the Lights (feat. Alexis Roberts),Chris Lake,tech_house,0.0467,0.824,0.888,210547,0.745,3.29e-05,11,0.198,-5.49,0,0.0755,125.013,4
99,1QbtpKdKDmnNSGVBtNQXea,Lovin,4Rule,tech_house,0.00799,0.722,0.826,154687,0.867,0.0439,8,0.37,-4.722,1,0.0438,128.024,4
100,747D3DB25AtxI57UxkBxzt,Ananas,Dot N Life,tech_house,0.00608,0.689,0.735,190113,0.994,0.29,7,0.244,-3.908,1,0.081,123.986,4
101,5UkoWcFsdWn8NtSAh73Vli,Temptation,SIDEPIECE,tech_house,0.00665,0.808,0.624,192960,0.878,0.0152,9,0.208,-5.282,1,0.0948,125.011,4
102,6wXGnD6t5eOBPi1zwc90n1,Push My Body,Zheno,tech_house,0.0121,0.66,0.933,141300,0.876,0.855,6,0.15,-6.394,1,0.0498,124.011,4
103,1V56bmetq8AyiZIkfxg5XS,Hooked,Martin Ikin,tech_house,0.0207,0.747,0.724,192381,0.998,0.705,5,0.058,-5.934,1,0.0516,125.989,4
104,2m1IWPkEfft3YPw1Zjvy7V,Take Me Out,Leo Pablo,tech_house,0.0141,0.805,0.783,179062,0.905,0.851,9,0.114,-7.41,0,0.0432,126.026,4
105,5jZs4ClIpSGTUzrMZ7Malw,Dark Side,Jack Rush,tech_house,0.00137,0.729,0.767,193935,0.941,0.379,4,0.33,-6.005,1,0.0453,125.052,4
106,1GZchSLYEk9poe2BVCg3Oa,My Darling,Roast Pang,tech_house,0.0036,0.732,0.865,142258,0.801,0.801,0,0.33,-7.514,1,0.0516,123.986,4
107,3239OdTeQMBphegyNvF8F3,Pour the Milk,Robbie Doherty,tech_house,0.026,0.928,0.878,172285,0.681,0.00373,9,0.0491,-8.554,1,0.0728,126.988,4
108,6Kf7Q7s5mpAcAcfFOxpTo5,Break It Down,Whispers,tech_house,0.000524,0.659,0.392,172396,0.956,0.862,6,0.339,-7.803,0,0.0471,126.014,4
109,0TR69tw5aybYHbSC1w4xy5,Love To The World,Diplo,tech_house,0.0075,0.757,0.922,179461,0.976,0.169,7,0.0394,-4.61,0,0.0974,123.015,4
110,2wOocLX4huNlMPWQVCUF2W,Overpower,Knyts,tech_house,0.00431,0.637,0.283,221244,0.913,0.741,9,0.116,-7.771,0,0.0422,123.998,4
111,56GaXogoNuLs0OwA12eW6i,Don't Stop The Music,Reynor,tech_house,0.000587,0.717,0.785,187200,0.93,0.129,4,0.0847,-6.805,1,0.0412,125.004,4
112,7BYkD8mC4W46v8ZEfrZ3pE,Burn,CharleX,tech_house,0.07,0.782,0.207,201600,0.863,0.108,6,0.0413,-6.865,0,0.0473,125.001,4
113,7FiYF0ocZO3hwxrPkJ5wQs,Critical,CamelPhat,tech_house,0.0082,0.829,0.598,260389,0.994,0.166,11,0.356,-6.041,1,0.0767,127.012,4
114,2qV778aEmy7dmSNm8yFWll,SO RIGHT,Dujak,tech_house,0.00108,0.646,0.354,187200,0.969,0.599,7,0.0293,-4.318,1,0.0581,125.025,4
115,2hPLhB3mfNzz1QtJGupkzw,Bad News,CAIEL,tech_house,0.0253,0.721,0.563,207360,0.951,0.129,7,0.311,-5.551,1,0.118,124.947,4
116,0VgtjIiWXKMxqtYnhHmQ8U,Stay With Me,Chris Lake,tech_house,0.00653,0.706,0.241,224577,0.846,0.161,6,0.0908,-5.475,1,0.04,123.994,4
117,7N2pa1XQIWx53SgtIv0p9q,I Need U,David Novacek,tech_house,0.00746,0.543,0.223,246190,0.999,0.864,6,0.335,-4.627,1,0.0679,126.01,4
118,5dbBiQpGLsAL56mhsiB8DF,Take It Back,Jøase,tech_house,0.0226,0.787,0.325,184762,0.732,0.000452,11,0.114,-6.508,0,0.0345,126.009,4
119,13HysEhjVq9M0K2AQZrGun,Believe,Dom Ryan,tech_house,0.00512,0.649,0.612,191643,0.932,0.0195,0,0.229,-4.933,0,0.037,124.058,4
120,25V0TNA8cZLVzLQpHa6rB1,Freaks,FISHER,tech_house,0.00219,0.805,0.786,175255,0.869,0.799,1,0.122,-4.344,1,0.0549,124.014,4
121,0PFer42yust9QntSdohxuV,Move It Off,Dot N Life,tech_house,0.0079,0.729,0.664,153600,0.83,0.6,11,0.08,-6.991,0,0.0748,125.008,4
122,5d5Mamg4yK1eSPv5mGtpPt,Just Funky,Lee & Dann,tech_house,0.00134,0.692,0.543,192010,0.981,0.702,9,0.274,-2.674,1,0.0592,124.976,4
123,4z8VKbWWyF7gBmRxLlR4qh,One To One,Dujak,tech_house,7.53e-05,0.706,0.673,145238,0.974,0.223,1,0.0417,-3.226,1,0.0698,125.935,4
124,2nXljtax0MyuCcomqyBHLy,Bonkers Night,Scissors,tech_house,0.0037,0.746,0.7,169093,0.911,0.812,10,0.209,-4.998,0,0.0478,126.01,4
125,0RKJ6Bw85JCdnGBHJ0hkZ0,No Sleep,NALYRO,tech_house,0.00845,0.742,0.55,178170,0.859,0.922,0,0.659,-7.959,1,0.0438,123.984,4
126,3X1zUDXoYVrs6ayo5iCq4I,My Body,Nofex,tech_house,0.00998,0.725,0.75,215520,0.909,0.74,8,0.0945,-8.48,1,0.0551,124.994,4
127,27bZ77uG7mEhydpaPvThR6,Turn Back Time,Diplo,tech_house,0.176,0.751,0.398,147261,0.783,0.000933,10,0.114,-7.974,0,0.0332,123.998,4
128,3cyEL8ZHrruWaqvGNCiRXK,Say It,Dom Ryan,tech_house,0.000717,0.713,0.505,218740,0.743,0.695,0,0.152,-6.407,1,0.0417,124.004,4
129,0VITvqIFOWcUBDZ81m7QHd,Day In Day Out,Reynor,tech_house,0.0312,0.77,0.592,196190,0.887,0.0225,9,0.27,-7.243,1,0.0774,126.017,4
130,0jGCvG1FqqhIABL6DQHOWt,Infinity,Dom Ryan,tech_house,0.000438,0.732,0.619,222470,0.835,0.526,5,0.0311,-5.588,1,0.0337,123.005,4
131,0yvPTNzH1e1V2rdbUGrVFp,Elevate,Deeper Purpose,tech_house,0.12,0.738,0.124,211654,0.868,0.863,9,0.156,-8.902,0,0.0611,126.994,4
132,1Y0IBdnkgdsXiB2C0U05u4,Keep You Up,Anthony Sceam,tech_house,0.00128,0.719,0.486,176640,0.962,0.696,2,0.1,-5.061,1,0.0599,124.988,4
133,6ho0GyrWZN3mhi9zVRW7xi,Losing It,FISHER,tech_house,0.00181,0.76,0.643,248036,0.964,0.703,2,0.0975,-5.844,1,0.0577,125.003,4
134,6BBTzL07Chpm43Fh64Md7A,Venom,Nick Raff,tech_house,0.00418,0.768,0.832,179345,0.937,0.712,4,0.0898,-6.036,1,0.0501,125.99,4
135,5whiPPRn248jYANBCMzQoB,The Answer (featuring Arthur Baker & Victor Simonelli),Chris Lake,tech_house,0.0433,0.728,0.502,203720,0.898,0.0536,10,0.261,-4.652,0,0.125,125.974,4
136,3vfDNBEkld25gGSbHCZjfl,Rabbit Hole,Zheno,tech_house,0.00491,0.659,0.67,162591,0.905,0.104,7,0.349,-7.167,1,0.0813,123.891,4
137,25LLenmIfNiZ23wNTh1bq8,Right Now,LiForce,tech_house,0.0785,0.768,0.213,202560,0.567,0.15,7,0.367,-9.961,1,0.105,125.061,4
138,78XpDZX08cRFytns9CAtY0,Old School,Luis Lee,tech_house,0.00588,0.624,0.55,218880,0.94,0.894,11,0.412,-5.484,0,0.0403,125.004,4
139,1vtXJyoTL6ttzkT7yvRgoW,I Like It,ATLNTICA,tech_house,0.448,0.646,0.699,206143,0.993,0.0105,8,0.253,-3.897,0,0.0609,123.964,4
140,2wP7laanC2qapm97ZzC82t,Fallin for You - Tom & Collins Remix,SIDEPIECE,tech_house,0.00844,0.718,0.482,170500,0.803,0.846,1,0.124,-8.289,0,0.0457,126.998,4
141,2I895EesiaObDHEEG7u8J3,We Dancin',Redux Saints,tech_house,3.35e-05,0.721,0.702,212344,0.997,0.886,2,0.108,-4.983,1,0.0444,128.003,4
142,0cyg5SMZv9J0XoB9aOhYl2,Down,CATCH,tech_house,0.0207,0.482,0.492,146941,0.875,0.00685,9,0.0719,-6.456,0,0.0458,110.47,4
143,3vxu9j3MSwb7mV6ThWB4qn,One Thing,Faraone,tech_house,0.0138,0.58,0.488,171433,0.959,0.292,2,0.316,-5.621,1,0.0475,126.002,4
144,6n6oN7vyqMqezRLbdc5Ge4,The Nasty,H!DE,tech_house,0.000309,0.806,0.97,306142,0.972,0.894,0,0.0993,-4.983,1,0.0516,126.991,4
145,5w9yxsVPrSlRAcET0Fm0JK,Return To Forever,Future Class,tech_house,0.00379,0.778,0.428,170590,0.749,0.192,11,0.114,-7.715,0,0.0442,124.943,4
146,3Z30xTOI9S4MmhlK6G2d10,Feel,Dom Ryan,tech_house,0.000102,0.585,0.244,226924,0.854,0.793,7,0.0734,-5.72,1,0.0334,124.022,4
147,02hL6pAry7o1qI6ghPNXPi,U & I - Radio Edit,Kricked,tech_house,0.00143,0.8,0.716,207334,0.975,0.812,1,0.356,-6.039,1,0.0692,128.004,4
