id,name,artist,genre,acousticness,danceability,valence,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature
53R3qtUyzfirPcjuDNk5kn,Hungry For The Power - Jamie Jones Ridge Street Mix,Azari & III,house,0.00541,0.867,0.718,406692,0.6579999999999999,0.01,9,0.228,-7.632999999999999,1,0.0674,124.03,4
53SSL6uBu5I6Uttk3RuzI2,Starblazer - Original,Deetron,house,0.000487,0.8270000000000001,0.0366,498282,0.81,0.645,11,0.057999999999999996,-5.751,0,0.0513,124.98899999999999,4
14iTtRdW9NJ1K3TKn7KR4T,Sinfonia Della Notte,Dennis Ferrer,house,0.000205,0.77,0.332,445947,0.922,0.9329999999999999,1,0.106,-7.377000000000001,1,0.0538,126.014,4
67c4UClxMejugp63qjUrXk,Promised Land,Joe Smooth,house,0.0159,0.6990000000000001,0.846,332000,0.725,0.0169,9,0.0265,-14.14,0,0.0436,128.835,4
3vjciF6oblzqR5WKP0pOg4,Fired Up!,Funky Green Dogs,house,0.0098,0.748,0.752,217467,0.9570000000000001,0.146,7,0.473,-7.316,1,0.0336,125.344,4
2cFNR9vADDoTbT1vvKo3jI,Free - R.I.P. Up North Mix,Ultra Naté,house,0.00313,0.8340000000000001,0.248,402480,0.8740000000000001,0.792,8,0.191,-9.997,1,0.0784,125.021,4
28yZlQZ0wGhXGtMyHJiF5h,Block Party - Original Mix,Africanism,house,0.00025499999999999996,0.868,0.8540000000000001,376792,0.792,0.898,11,0.23199999999999998,-7.805,0,0.0977,126.021,4
40UK41z8wyc2Qb0v03L0IG,Save our soul - Original,Bob Sinclar,house,0.000897,0.69,0.6890000000000001,262867,0.976,0.639,3,0.33799999999999997,-4.44,0,0.0558,128.045,4
7pRDFBYPmUWBFnpwDhzqGm,Professional Widow - Armand's Star Trunk Funk Mix,Tori Amos,house,0.00945,0.727,0.737,227240,0.9690000000000001,0.0017,7,0.364,-4.493,1,0.0419,128.05,4
68s6ebOVdk87U01f3gfllc,Tropical Soundclash - K-Dope Remix,DJ Gregory,house,0.00145,0.51,0.456,522867,0.961,0.8490000000000001,11,0.10400000000000001,-4.728,0,0.10300000000000001,92.866,3
4tvejslaZsD6Y0pFCWipwJ,God Made Me Phunky (Extended Mix),MD X-Spress,house,5.26e-06,0.7090000000000001,0.353,376627,0.73,0.491,8,0.248,-9.004,0,0.0541,128.004,4
