,id,name,artist,genre,acousticness,danceability,valence,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature
85,1koqt9X58sIMkXlGCNOOJe,Far Away,Mark Reeve,techno,0.00879,0.802,0.0336,385200,0.644,0.902,11,0.109,-8.582,0,0.0519,128.002,4
86,46N0cSUeoKfdGOGG852Jk1,Planet X,Space 92,techno,0.006,0.792,0.183,227871,0.836,0.878,7,0.108,-6.252,1,0.0648,130.003,4
87,3sXqxxv1iiA011Zjtc4H49,Data Point,Adam Beyer,techno,0.00121,0.8,0.0687,410079,0.875,0.755,2,0.0967,-6.307,1,0.0641,127.006,4
88,6O6DHqG2NOhaWNbRznlyr6,King Of Swords - Original Mix,11 Void,techno,0.00205,0.656,0.0733,396746,0.846,0.782,7,0.111,-9.05,1,0.0719,138.014,4
89,3MyPGRAE1eXKoGDnBIzYjG,Bass In Your Face - Space 92 Remix,Twins Project,techno,0.000508,0.794,0.174,428308,0.936,0.915,10,0.0924,-6.836,0,0.0462,130.009,4
90,29ogUjQjRURqNtqwSXvpdg,Trilogy - ANNA Remix,Chris Liebing,techno,0.0081,0.748,0.0279,409461,0.946,0.873,2,0.125,-8.653,1,0.0453,130.008,4
91,15BCiNT8YBJ5IvSOLR2qIR,Solid State - Balthazar & JackRock Remix,Monika Kruse,techno,0.00097,0.668,0.593,452308,0.898,0.921,2,0.103,-5.646,1,0.0837,130.01,4
92,5XwKGsHvBI5c7cSJh3qTLY,Excess,Lilly Palmer,techno,0.0942,0.756,0.109,432047,0.702,0.892,1,0.0518,-7.937,1,0.0566,127.006,4
93,6VgMJVTsIVC5KUrTFMEGG1,Coming on Strong - Original Mix,Deep Dimension,techno,7.22e-05,0.566,0.503,318806,0.682,0.754,6,0.115,-8.868,0,0.0366,134.023,4
94,2NY98niFRLVXTo2KKRsl31,So 1992 - Radio Slave & P.Leone Remix,Deep Dimension,techno,9.85e-05,0.683,0.227,444923,0.738,0.849,11,0.0985,-6.301,0,0.0312,130.003,4
